STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ESTIMATED,ec_Total C,ec_Total E,ec_perarea,GeothP,ec_Total Consumption MMBtu,ec_Total Expenditure US Dollars
"53","043","01514052","53043",Lincoln,Lincoln County,"06",H1,G4020,,,,A,"5984424965","75262191","+47.5827433","-118.4176925","100",7691824.194259460084140,79854097.274148330092430,0.372,81.160,7691824.19425946,79854097.2741483
"06","081","00277305","06081",San Mateo,San Mateo County,"06",H1,G4020,,,,A,"1161882953","757162988","+37.4146725","-122.3715457","250",35392946.065550982952118,986584125.882976055145264,5.405,337.153,35392946.065551,986584125.882976
"41","059","01156673","41059",Umatilla,Umatilla County,"06",H1,G4020,,,,A,"8327976998","41618632","+45.5911997","-118.7338795","100",4340725.772423580288887,72927671.814298093318939,0.152,74.560,4340725.77242358,72927671.8142981
"53","035","01529223","53035",Kitsap,Kitsap County,"06",H1,G4020,,,,A,"1023308789","442187072","+47.6395948","-122.6496339","100",11640990.424042500555515,239399108.711167275905609,2.328,139.839,11640990.4240425,239399108.711167
"53","075","01533501","53075",Whitman,Whitman County,"06",H1,G4020,,,,A,"5592463293","48246698","+46.9059441","-117.5353898","100",2470945.867997913621366,42758835.927382014691830,0.128,73.851,2470945.86799791,42758835.927382
"41","031","01155132","41031",Jefferson,Jefferson County,"06",H1,G4020,,,,A,"4614570968","26212115","+44.6451505","-121.1786315","125",3358066.322200073860586,50594659.291810937225819,0.212,93.862,3358066.32220007,50594659.2918109
"53","045","01529221","53045",Mason,Mason County,"06",H1,G4020,,,,A,"2485231719","236957000","+47.3508322","-123.1731033","100",2807895.566413704771549,51662111.711462944746017,0.302,79.069,2807895.5664137,51662111.7114629
"06","093","00277311","06093",Siskiyou,Siskiyou County,"06",H1,G4020,,,,A,"16261933230","179149815","+41.5879861","-122.5332868","125",3487916.816135529428720,82589288.132431209087372,0.062,89.365,3487916.81613553,82589288.1324312
"53","057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,,,,A,"4481277789","483821018","+48.4932917","-121.8157703","125",16592518.660470973700285,215022983.554675132036209,0.979,116.882,16592518.660471,215022983.554675
"06","087","00277308","06087",Santa Cruz,Santa Cruz County,"06",H1,G4020,,,,A,"1152818088","419720203","+37.0123466","-122.0077889","250",12201294.197994707152247,338355301.382325589656830,2.274,243.218,12201294.1979947,338355301.382326
"53","053","01529159","53053",Pierce,Pierce County,"06",H1,G4020,,,,A,"4320041415","356079568","+47.0514128","-122.1532402","100",55151179.594498217105865,962737904.333312273025513,3.457,173.696,55151179.5944982,962737904.333312
"06","021","00277275","06021",Glenn,Glenn County,"06",H1,G4020,,,,A,"3403160299","33693344","+39.6025462","-122.4016998","150",2721274.223778116516769,59595355.180871628224850,0.232,111.962,2721274.22377812,59595355.1808716
"53","067","01529226","53067",Thurston,Thurston County,"06",H1,G4020,,,,A,"1871268836","133615762","+46.9358216","-122.8301524","100",16279360.330643141642213,338655120.986349582672119,2.380,141.391,16279360.3306431,338655120.98635
"06","079","00277304","06079",San Luis Obispo,San Luis Obispo County,"06",H1,G4020,,,,A,"8549160509","815630594","+35.3881891","-120.4488974","150",20758095.396442800760269,424499402.839935481548309,0.650,124.489,20758095.3964428,424499402.839935
"41","067","01155137","41067",Washington,Washington County,"06",H1,G4020,,,,A,"1875855586","6118186","+45.5535419","-123.0976146","100",40391271.276944495737553,733086965.974597930908203,6.290,258.698,40391271.2769445,733086965.974598
"53","021","01531822","53021",Franklin,Franklin County,"06",H1,G4020,,,,A,"3215718486","60508754","+46.5375019","-118.9038912","100",7042107.086650727316737,93626926.980940788984299,0.630,88.898,7042107.08665073,93626926.9809408
"53","059","01529220","53059",Skamania,Skamania County,"06",H1,G4020,,,,A,"4294897557","73323232","+46.0247853","-121.9532319","100",587502.438557196641341,10335864.717937715351582,0.039,71.182,587502.438557197,10335864.7179377
